Project	Column	Card	CardURL	Type	Number	Labels	Repo	State	CreatedAt	UpdatedAt	ClosedAt	ClosedBy	Title	Size
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8304	PullRequest	8304	[]	dataverse	closed	2021-12-09 22:29:17	2021-12-15 15:02:55	2021-12-15 14:15:38		adding API Token to Aux Files docs	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8265	PullRequest	8265	[]	dataverse	closed	2021-12-01 05:59:12	2021-12-15 00:31:37	2021-12-14 16:31:55		8258 preview restricted file fix	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8292	PullRequest	8292	[]	dataverse	closed	2021-12-08 16:11:57	2021-12-14 01:56:08	2021-12-13 22:46:35		doc entries on trimming the actionlogrecord table. (#5916)	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8284	PullRequest	8284	[]	dataverse	closed	2021-12-07 15:28:44	2021-12-09 14:49:03	2021-12-09 14:49:00		8270 release notes	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8299	PullRequest	8299	[]	dataverse	closed	2021-12-08 23:00:55	2021-12-09 14:45:05	2021-12-09 14:45:05		Missing anonymization in files version table for anon PrivateURLs	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8282	PullRequest	8282	[]	dataverse	closed	2021-12-06 20:31:59	2021-12-07 23:15:38	2021-12-07 22:53:13		allow users to override content type for aux files #8241	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8279	PullRequest	8279	[]	dataverse	closed	2021-12-03 20:57:04	2021-12-07 20:29:29	2021-12-07 20:29:26		only run regex replaces on DBs with UTF8 encoding #8278	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8273	PullRequest	8273	[]	dataverse	closed	2021-12-03 15:01:39	2021-12-06 22:13:00	2021-12-06 21:36:34		explicitly init Postgres DB with UTF-8 encoding, bump Maven to 3.8.4	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8277	PullRequest	8277	[]	dataverse	closed	2021-12-03 16:51:44	2021-12-06 21:35:40	2021-12-06 21:35:40		IQSS/8276 - skip validation when embargo isn't enabled.	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8274	PullRequest	8274	[]	dataverse	closed	2021-12-03 15:07:23	2021-12-14 01:56:27	2021-12-06 16:45:36		IQSS/8263-Fix Google analytics button tracking	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8268	PullRequest	8268	[]	dataverse	closed	2021-12-02 00:17:45	2021-12-06 15:24:14	2021-12-06 15:22:17		8266 fix handle command click	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8246	PullRequest	8246	[]	dataverse	closed	2021-11-18 20:53:12	2021-12-03 21:43:05	2021-12-03 20:30:41		allow multiple required subfields #8236	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8260	PullRequest	8260	[]	dataverse	closed	2021-11-30 17:14:23	2021-12-03 20:11:07	2021-12-03 20:09:12		add default size limits for thumbnail generation #8160	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8143	PullRequest	8143	[]	dataverse	closed	2021-10-13 13:38:07	2021-12-03 18:50:40	2021-12-03 18:50:37		7804 dataverse page speedup	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8202	PullRequest	8202	[]	dataverse	closed	2021-11-02 00:19:35	2021-12-01 19:33:41	2021-12-01 19:29:40		Query counting script	0
